IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
009819-23012017,23.Jan.17,17:32:40,False Alarm,False alarm - Good intent,,Outdoor,Heathland ,Open land/water - nearest gazetteer location,CR4 4JJ,CR4,E09000029,SUTTON,E05000571,WANDLE VALLEY,528254,166880,528250,166850,London,Mitcham,457,Mitcham,NULL,,1,1
009822-23012017,23.Jan.17,17:38:51,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,N3,E09000003,BARNET,E05000061,WEST FINCHLEY,NULL,NULL,524850,191450,London,Finchley,508,Finchley,582,Hendon,2,3
009825-23012017,23.Jan.17,17:47:30,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW11,E09000032,WANDSWORTH,E05000617,LATCHMERE,NULL,NULL,527650,176450,London,Battersea,266,Battersea,427,Chelsea,2,2
009826-23012017,23.Jan.17,17:48:02,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,UB4,E09000017,HILLINGDON,E05000324,BARNHILL,NULL,NULL,511050,181050,London,Southall,444,Hillingdon,504,Southall,2,3
009827-23012017,23.Jan.17,17:49:15,Special Service,Special Service,Flooding,Non Residential,Church/Chapel ,Correct incident location,TW1 4EU,TW1,E09000027,RICHMOND UPON THAMES,E05000531,TWICKENHAM RIVERSIDE,516115,173267,516150,173250,London,Twickenham,472,Twickenham,NULL,,1,1
009828-23012017,23.Jan.17,17:52:24,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SE23,E09000023,LEWISHAM,E05000450,PERRY VALE,NULL,NULL,535950,172350,London,Forest Hill,453,Lewisham,703,West Norwood,2,2
009829-23012017,23.Jan.17,17:53:00,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,On motorway / elevated road,IG11 0AD,IG11,E09000025,NEWHAM,E05000482,EAST HAM SOUTH,544408,183026,544450,183050,London,Barking,894,East Ham,NULL,,1,1
009830-23012017,23.Jan.17,17:53:01,Special Service,Special Service,Evacuation (no fire),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E3,E09000030,TOWER HAMLETS,E05009320,BOW WEST,NULL,NULL,536250,183450,London,Bethnal Green,328,Bethnal Green,NULL,,1,1
009831-23012017,23.Jan.17,17:55:33,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Within same building,SE16 4QW,SE16,E09000028,SOUTHWARK,E05000548,RIVERSIDE,534333,179219,534350,179250,London,Dockhead,192,Dockhead,273,Old Kent Road,2,2
009832-23012017,23.Jan.17,17:55:36,Special Service,Special Service,Assist other agencies,Outdoor,Road surface/pavement ,In street outside gazetteer location,W5 5AW,W5,E09000009,EALING,E05000173,EALING BROADWAY,517701,180705,517750,180750,London,Ealing,26,Ealing,NULL,,1,1
009835-23012017,23.Jan.17,17:57:27,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E4,E09000031,WALTHAM FOREST,E05000593,CHINGFORD GREEN,NULL,NULL,537850,194750,London,Chingford,187,Chingford,437,Woodford,2,2
009838-23012017,23.Jan.17,18:05:56,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,,E1,E09000030,TOWER HAMLETS,E05009333,SPITALFIELDS & BANGLATOWN,NULL,NULL,534450,181750,London,Whitechapel,NULL,,NULL,,1,1
009839-23012017,23.Jan.17,18:07:44,False Alarm,False alarm - Good intent,,Outdoor,Wasteland ,Open land/water - nearest gazetteer location,CR4 4HN,CR4,E09000024,MERTON,E05000458,CRICKET GREEN,528247,167144,528250,167150,London,Mitcham,256,Mitcham,NULL,,1,1
009840-23012017,23.Jan.17,18:08:32,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW2,E09000022,LAMBETH,E05000430,STREATHAM HILL,NULL,NULL,530450,173050,London,West Norwood,324,Brixton,444,West Norwood,2,2
009841-23012017,23.Jan.17,18:17:58,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N19,E09000019,ISLINGTON,E05000378,ST. GEORGE'S,NULL,NULL,529450,185650,London,Kentish Town,480,Holloway,NULL,,1,1
009843-23012017,23.Jan.17,18:22:36,Special Service,Special Service,Lift Release,Dwelling,Self contained Sheltered Housing ,Within same building,,CR2,E09000008,CROYDON,E05000152,CROHAM,NULL,NULL,533050,164650,London,Croydon,349,Croydon,NULL,,1,1
009844-23012017,23.Jan.17,18:24:48,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,NW6,E09000005,BRENT,E05000094,KILBURN,NULL,NULL,525250,183650,London,West Hampstead,303,West Hampstead,309,West Hampstead,1,2
009845-23012017,23.Jan.17,18:25:36,False Alarm,False alarm - Good intent,,Outdoor,Domestic garden (vegetation not equipment) ,Open land/water - nearest gazetteer location,BR4 9JL,BR4,E09000006,BROMLEY,E05000119,HAYES AND CONEY HALL,539532,165294,539550,165250,London,Addington,335,Addington,NULL,,1,1
009847-23012017,23.Jan.17,18:40:56,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street close to gazetteer location,UB7 9AP,UB7,E09000017,HILLINGDON,E05000342,WEST DRAYTON,507552,179618,507550,179650,London,Hayes,377,Heathrow,NULL,,1,1
009848-23012017,23.Jan.17,18:42:31,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,HA4 6DU,HA4,E09000017,HILLINGDON,E05000334,MANOR,509878,186316,509850,186350,London,Ruislip,360,Ruislip,NULL,,1,1
009850-23012017,23.Jan.17,18:45:26,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,N21,E09000010,ENFIELD,E05000194,BUSH HILL PARK,NULL,NULL,532550,194050,London,Edmonton,334,Edmonton,346,Edmonton,1,2
009851-23012017,23.Jan.17,18:46:58,False Alarm,AFA,,Non Residential,Purpose built office ,Within same building,W1K 5EH,W1K,E09000033,WESTMINSTER,E05000649,WEST END,528486,180910,528450,180950,London,Soho,663,Soho,NULL,,1,1
009852-23012017,23.Jan.17,18:47:19,Special Service,Special Service,No action (not false alarm),Road Vehicle,Motorcycle ,In street outside gazetteer location,N4 2DH,N4,E09000019,ISLINGTON,E05000371,FINSBURY PARK,531384,186783,531350,186750,London,Holloway,453,Holloway,NULL,,1,1
009853-23012017,23.Jan.17,18:48:37,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,RM11,E09000016,HAVERING,E05000320,ST. ANDREW'S,NULL,NULL,553950,187750,London,Hornchurch,825,Dagenham,912,Romford,2,2
009855-23012017,23.Jan.17,18:55:18,False Alarm,False alarm - Good intent,,Road Vehicle,Car ,On land associated with building,E6 7FD,E6,E09000025,NEWHAM,E05000475,BECKTON,544087,181839,544050,181850,London,East Ham,410,Barking,NULL,,1,1
009856-23012017,23.Jan.17,18:56:30,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Correct incident location,,BR2,E09000006,BROMLEY,E05000126,SHORTLANDS,NULL,NULL,539950,168650,London,Bromley,318,Bromley,NULL,,1,1
009857-23012017,23.Jan.17,18:58:38,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,N4,E09000019,ISLINGTON,E05000371,FINSBURY PARK,NULL,NULL,531050,186950,London,Holloway,166,Holloway,400,Stoke Newington,2,3
009858-23012017,23.Jan.17,19:00:40,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,,KT3,E09000021,KINGSTON UPON THAMES,E05000411,ST. JAMES,NULL,NULL,521850,167950,London,New Malden,174,New Malden,NULL,,1,1
009859-23012017,23.Jan.17,19:04:02,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,On land associated with building,E17 9GZ,E17,E09000031,WALTHAM FOREST,E05000606,MARKHOUSE,537281,188946,537250,188950,London,Walthamstow,306,Walthamstow,NULL,,1,1
009860-23012017,23.Jan.17,19:08:19,False Alarm,AFA,,Non Residential,Pre School/nursery ,Correct incident location,E2 7PE,E2,E09000030,TOWER HAMLETS,E05009335,WEAVERS,533683,182855,533650,182850,London,Shoreditch,199,Shoreditch,NULL,,1,1
009862-23012017,23.Jan.17,19:13:13,False Alarm,False alarm - Malicious,,Non Residential,Single shop ,Correct incident location,UB1 1QF,UB1,E09000009,EALING,E05000189,SOUTHALL BROADWAY,512435,180450,512450,180450,London,Southall,147,Southall,158,Southall,2,3
009863-23012017,23.Jan.17,19:20:07,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1K 5EH,W1K,E09000033,WESTMINSTER,E05000649,WEST END,528485,180917,528450,180950,London,Soho,414,Soho,NULL,,1,1
009864-23012017,23.Jan.17,19:27:00,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,CR5,E09000008,CROYDON,E05000150,COULSDON EAST,NULL,NULL,530450,159850,London,Purley,198,Purley,502,Wallington,2,2
009866-23012017,23.Jan.17,19:30:53,Special Service,Special Service,Effecting entry/exit,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,SE26 4RQ,SE26,E09000023,LEWISHAM,E05000444,FOREST HILL,535092,172239,535050,172250,London,Forest Hill,209,Forest Hill,NULL,,1,1
009867-23012017,23.Jan.17,19:37:35,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,HA8 6JZ,HA8,E09000015,HARROW,E05000286,CANONS,519179,191560,519150,191550,London,Stanmore,264,Stanmore,NULL,,1,1
009868-23012017,23.Jan.17,19:38:24,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW7,E09000020,KENSINGTON AND CHELSEA,E05009393,COURTFIELD,NULL,NULL,526550,178350,London,Chelsea,193,Chelsea,269,Kensington,2,2
009874-23012017,23.Jan.17,19:56:24,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,W11,E09000013,HAMMERSMITH AND FULHAM,E05000263,SHEPHERD'S BUSH GREEN,NULL,NULL,523750,180250,London,North Kensington,284,North Kensington,309,North Kensington,2,3
009875-23012017,23.Jan.17,19:57:20,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,W1D 2LJ,W1D,E09000033,WESTMINSTER,E05000649,WEST END,529124,181247,529150,181250,London,Soho,206,Soho,NULL,,1,1
009876-23012017,23.Jan.17,19:59:39,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,W1K,E09000033,WESTMINSTER,E05000649,WEST END,NULL,NULL,528450,180950,London,Soho,435,Soho,NULL,,1,1
009878-23012017,23.Jan.17,20:05:15,False Alarm,False alarm - Good intent,,Outdoor Structure,Wheelie bin (domestic size),On land associated with building,E11 4AY,E11,E09000031,WALTHAM FOREST,E05000591,CATHALL,539031,186470,539050,186450,London,Leytonstone,164,Leytonstone,NULL,,1,1
009881-23012017,23.Jan.17,20:12:51,False Alarm,False alarm - Good intent,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W14,E09000013,HAMMERSMITH AND FULHAM,E05000252,AVONMORE AND BROOK GREEN,NULL,NULL,523850,179050,London,Hammersmith,238,Hammersmith,245,Hammersmith,1,2
009884-23012017,23.Jan.17,20:24:59,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,W1K 5EH,W1K,E09000033,WESTMINSTER,E05000649,WEST END,528486,180913,528450,180950,London,Soho,355,Soho,NULL,,1,1
009885-23012017,23.Jan.17,20:34:01,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SW16,E09000022,LAMBETH,E05000428,ST. LEONARD'S,NULL,NULL,529850,172650,London,Tooting,NULL,,NULL,,1,1
009886-23012017,23.Jan.17,20:38:30,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW6,E09000007,CAMDEN,E05000140,KILBURN,NULL,NULL,525450,183850,London,West Hampstead,259,West Hampstead,NULL,,1,2
009887-23012017,23.Jan.17,20:39:08,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,WC2E 7PH,WC2E,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,530465,180858,530450,180850,London,Soho,258,Soho,NULL,,1,1
009890-23012017,23.Jan.17,20:44:54,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,E4,E09000031,WALTHAM FOREST,E05000602,LARKSWOOD,NULL,NULL,537850,192250,London,Chingford,530,Chingford,NULL,,1,1
009893-23012017,23.Jan.17,20:51:45,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,W2,E09000033,WESTMINSTER,E05000631,BAYSWATER,NULL,NULL,525350,181150,London,Paddington,258,Kensington,269,North Kensington,2,2
009895-23012017,23.Jan.17,20:57:18,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,IG11,E09000002,BARKING AND DAGENHAM,E05000039,THAMES,NULL,NULL,546050,182450,London,Barking,NULL,,NULL,,1,1
009896-23012017,23.Jan.17,21:02:44,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SW7,E09000020,KENSINGTON AND CHELSEA,E05009401,QUEEN'S GATE,NULL,NULL,526350,179050,London,Kensington,314,Chelsea,NULL,,1,1
009897-23012017,23.Jan.17,21:15:06,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,NW1,E09000007,CAMDEN,E05000143,ST. PANCRAS AND SOMERS TOWN,NULL,NULL,529250,183150,London,Euston,209,Euston,NULL,,1,1
009901-23012017,23.Jan.17,21:17:11,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,W12,E09000013,HAMMERSMITH AND FULHAM,E05000253,COLLEGE PARK AND OLD OAK,NULL,NULL,523150,181350,London,North Kensington,244,North Kensington,244,North Kensington,1,2
009903-23012017,23.Jan.17,21:18:49,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,,SW11,E09000032,WANDSWORTH,E05000614,FAIRFIELD,NULL,NULL,526850,175150,London,Battersea,196,Battersea,245,Wandsworth,2,2
009904-23012017,23.Jan.17,21:20:03,Special Service,Special Service,Advice Only,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,N4,E09000012,HACKNEY,E05009387,WOODBERRY DOWN,NULL,NULL,532050,187750,London,Stoke Newington,331,Holloway,NULL,,1,1
009905-23012017,23.Jan.17,21:24:11,False Alarm,AFA,,Non Residential,Warehouse ,Correct incident location,UB6 8UH,UB6,E09000009,EALING,E05000178,GREENFORD GREEN,513906,184029,513950,184050,London,Northolt,631,Southall,NULL,,1,1
009906-23012017,23.Jan.17,21:26:50,False Alarm,False alarm - Good intent,,Outdoor,Loose refuse ,Open land/water - nearest gazetteer location,CR4 4JJ,CR4,E09000029,SUTTON,E05000571,WANDLE VALLEY,528343,166781,528350,166750,London,Mitcham,312,Mitcham,NULL,,1,1
009907-23012017,23.Jan.17,21:28:10,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Correct incident location,SW6 1RP,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000254,FULHAM BROADWAY,525304,177885,525350,177850,London,Fulham,191,Fulham,394,Kensington,2,2
009911-23012017,23.Jan.17,21:33:45,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,E5 9RH,E5,E09000031,WALTHAM FOREST,E05000603,LEA BRIDGE,535757,186784,535750,186750,London,Leyton,340,Leyton,NULL,,1,1
009913-23012017,23.Jan.17,21:37:12,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W4,E09000009,EALING,E05000191,SOUTHFIELD,NULL,NULL,520550,179550,London,Chiswick,327,Acton,327,Chiswick,2,2
009914-23012017,23.Jan.17,21:38:09,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,W11,E09000020,KENSINGTON AND CHELSEA,E05009397,HOLLAND,NULL,NULL,524450,180050,London,Kensington,291,Hammersmith,317,Hammersmith,1,2
009917-23012017,23.Jan.17,21:50:39,Fire,Secondary Fire,,Outdoor,Cycle path/public footpath/bridleway ,In street close to gazetteer location,DA18 4BS,DA18,E09000004,BEXLEY,E05000077,LESNES ABBEY,547887,179196,547850,179150,London,Erith,494,Plumstead,NULL,,1,1
009918-23012017,23.Jan.17,21:52:44,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,RM2 5TH,RM2,E09000016,HAVERING,E05000322,SQUIRREL'S HEATH,553051,188845,553050,188850,London,Hornchurch,523,Ilford,852,Barking,2,2
009920-23012017,23.Jan.17,21:53:28,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,SE8,E09000023,LEWISHAM,E05000443,EVELYN,NULL,NULL,536650,178450,London,Deptford,166,Deptford,381,Greenwich,4,4
009922-23012017,23.Jan.17,22:00:09,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE26,E09000023,LEWISHAM,E05000452,SYDENHAM,NULL,NULL,534550,171550,London,Forest Hill,452,Forest Hill,NULL,,1,1
009923-23012017,23.Jan.17,22:03:21,False Alarm,False alarm - Good intent,,Non Residential,Restaurant/cafe,Correct incident location,W6 9DT,W6,E09000013,HAMMERSMITH AND FULHAM,E05000256,HAMMERSMITH BROADWAY,523317,178542,523350,178550,London,Hammersmith,321,Fulham,397,Kensington,2,2
009924-23012017,23.Jan.17,22:03:58,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SE4,E09000023,LEWISHAM,E05000439,BROCKLEY,NULL,NULL,536750,175750,London,Lewisham,274,Lewisham,NULL,,1,1
009925-23012017,23.Jan.17,22:07:39,Fire,Primary Fire,,Road Vehicle,Van ,In street close to gazetteer location,E16 1ET,E16,E09000025,NEWHAM,E05000478,CANNING TOWN SOUTH,539750,181456,539750,181450,London,Plaistow,316,Plaistow,NULL,,1,1
009938-23012017,23.Jan.17,22:12:28,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,E17,E09000031,WALTHAM FOREST,E05000606,MARKHOUSE,NULL,NULL,537050,187950,London,Walthamstow,261,Leyton,298,Walthamstow,2,2
009939-23012017,23.Jan.17,22:14:05,Special Service,Special Service,Flooding,Outdoor,Road surface/pavement ,In street outside gazetteer location,RM6 6RD,RM6,E09000002,BARKING AND DAGENHAM,E05000029,CHADWELL HEATH,548440,188530,548450,188550,London,Dagenham,412,Barking,NULL,,1,1
009940-23012017,23.Jan.17,22:14:12,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,NW9,E09000003,BARNET,E05000062,WEST HENDON,NULL,NULL,521850,187950,London,Hendon,248,Hendon,NULL,,1,1
009942-23012017,23.Jan.17,22:21:56,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,SE26,E09000023,LEWISHAM,E05000452,SYDENHAM,NULL,NULL,534850,171850,London,Forest Hill,225,Forest Hill,1033,Beckenham,2,2
009943-23012017,23.Jan.17,22:24:59,Fire,Secondary Fire,,Outdoor,Loose refuse ,On land associated with building,TW4 6BL,TW4,E09000018,HOUNSLOW,E05000350,CRANFORD,511456,175090,511450,175050,London,Feltham,339,Feltham,525,Feltham,1,2
009944-23012017,23.Jan.17,22:27:19,Fire,Primary Fire,,Outdoor Structure,Other outdoor structures ,On land associated with building,SE15 4JX,SE15,E09000028,SOUTHWARK,E05000553,THE LANE,534208,175950,534250,175950,London,Peckham,310,Peckham,NULL,,1,1
009945-23012017,23.Jan.17,22:27:44,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N5,E09000019,ISLINGTON,E05000373,HIGHBURY WEST,NULL,NULL,531850,185950,London,Holloway,507,Holloway,NULL,,1,1
009949-23012017,23.Jan.17,22:32:03,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE18,E09000011,GREENWICH,E05000221,GLYNDON,NULL,NULL,544550,178750,London,Plumstead,418,Plumstead,NULL,,1,1
009950-23012017,23.Jan.17,22:33:19,False Alarm,AFA,,Dwelling,House - single occupancy ,Within same building,,UB3,E09000017,HILLINGDON,E05000325,BOTWELL,NULL,NULL,509750,179450,London,Hayes,406,Hayes,NULL,,2,2
009951-23012017,23.Jan.17,22:35:39,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,EN1,E09000010,ENFIELD,E05000207,SOUTHBURY,NULL,NULL,534250,195650,London,Edmonton,332,Edmonton,NULL,,1,1
009952-23012017,23.Jan.17,22:37:11,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W10,E09000033,WESTMINSTER,E05000642,QUEEN'S PARK,NULL,NULL,524250,182450,London,North Kensington,335,North Kensington,372,Paddington,2,2
009953-23012017,23.Jan.17,22:39:37,False Alarm,False alarm - Good intent,,Outdoor,Cycle path/public footpath/bridleway ,On land associated with building,CR4 4HN,CR4,E09000029,SUTTON,E05000571,WANDLE VALLEY,528286,166864,528250,166850,London,Mitcham,361,Wallington,NULL,,1,1
009954-23012017,23.Jan.17,22:41:06,False Alarm,AFA,,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,,SE15,E09000028,SOUTHWARK,E05000543,LIVESEY,NULL,NULL,533950,177650,London,Old Kent Road,148,Old Kent Road,232,Peckham,2,2
009955-23012017,23.Jan.17,22:46:01,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,CR4 2AG,CR4,E09000024,MERTON,E05000461,GRAVENEY,528565,170224,528550,170250,London,Mitcham,296,Mitcham,NULL,,1,1
009956-23012017,23.Jan.17,22:47:53,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,BR7,E09000006,BROMLEY,E05000111,CHISLEHURST,NULL,NULL,543850,171550,London,Eltham,474,Sidcup,484,Eltham,2,2
009957-23012017,23.Jan.17,22:55:03,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W10,E09000033,WESTMINSTER,E05000642,QUEEN'S PARK,NULL,NULL,524250,182450,London,North Kensington,194,North Kensington,289,Paddington,2,2
009958-23012017,23.Jan.17,22:59:05,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,TW10,E09000027,RICHMOND UPON THAMES,E05000519,"HAM, PETERSHAM AND RICHMOND RIVERSIDE",NULL,NULL,517150,171650,London,Kingston,200,Kingston,361,Kingston,1,2
009959-23012017,23.Jan.17,23:01:42,False Alarm,False alarm - Good intent,,Non Residential,Purpose built office ,Correct incident location,W4 4PU,W4,E09000018,HOUNSLOW,E05000365,TURNHAM GREEN,520765,178447,520750,178450,London,Chiswick,221,Chiswick,NULL,,1,1
009961-23012017,23.Jan.17,23:02:12,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,SE15,E09000028,SOUTHWARK,E05000553,THE LANE,NULL,NULL,533650,176650,London,Peckham,138,Peckham,255,New Cross,2,2
009962-23012017,23.Jan.17,23:04:33,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,BR3 1RL,BR3,E09000006,BROMLEY,E05000113,COPERS COPE,537266,171119,537250,171150,London,Beckenham,404,Forest Hill,NULL,,1,1
009963-23012017,23.Jan.17,23:05:56,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,NW10,E09000005,BRENT,E05000091,HARLESDEN,NULL,NULL,521250,183650,London,Park Royal,466,Acton,NULL,,1,1
009964-23012017,23.Jan.17,23:07:18,False Alarm,AFA,,Non Residential,Secondary school,Correct incident location,TW13 6PN,TW13,E09000018,HOUNSLOW,E05000354,HANWORTH PARK,511565,171815,511550,171850,London,Feltham,367,Feltham,NULL,,1,1
009969-23012017,23.Jan.17,23:10:23,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000260,PARSONS GREEN AND WALHAM,NULL,NULL,525350,176750,London,Fulham,228,Fulham,NULL,,1,1
009973-23012017,23.Jan.17,23:33:07,False Alarm,AFA,,Other Residential,Hostel (e.g. for homeless people) ,Within same building,TW10 6HN,TW10,E09000027,RICHMOND UPON THAMES,E05000528,SOUTH RICHMOND,518912,174597,518950,174550,London,Richmond,190,Richmond,345,Kingston,2,2
009974-23012017,23.Jan.17,23:33:11,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW9,E09000022,LAMBETH,E05000420,COLDHARBOUR,NULL,NULL,531650,175550,London,Brixton,197,Brixton,NULL,,1,1
009975-23012017,23.Jan.17,23:37:20,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,WC2H,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,NULL,NULL,529950,180650,London,Soho,184,Soho,337,Euston,2,2
009976-23012017,23.Jan.17,23:39:21,False Alarm,False alarm - Good intent,,Boat,Barge ,Open land/water - nearest gazetteer location,W10 5XA,W10,E09000020,KENSINGTON AND CHELSEA,E05009396,GOLBORNE,524701,182025,524750,182050,London,North Kensington,195,North Kensington,277,Paddington,2,3
009979-23012017,23.Jan.17,23:44:13,False Alarm,False alarm - Good intent,,Dwelling,Other Dwelling ,Within same building,,NW9,E09000005,BRENT,E05000099,QUEENSBURY,NULL,NULL,520650,189450,London,Stanmore,378,Hendon,470,Stanmore,2,2
009982-23012017,23.Jan.17,23:49:08,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,NW8 9LE,NW8,E09000033,WESTMINSTER,E05000643,REGENT'S PARK,526931,182989,526950,182950,London,Paddington,379,West Hampstead,NULL,,1,1
009983-23012017,23.Jan.17,23:49:32,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,NW8,E09000033,WESTMINSTER,E05000630,ABBEY ROAD,NULL,NULL,526250,183350,London,West Hampstead,370,West Hampstead,NULL,,2,2
009985-23012017,23.Jan.17,23:53:20,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,TW3,E09000018,HOUNSLOW,E05000358,HOUNSLOW CENTRAL,NULL,NULL,514250,175850,London,Heston,338,Heston,705,Feltham,2,2
009988-24012017,24.Jan.17,00:10:19,Special Service,Special Service,Suicide/attempts,Outdoor,River/canal ,Open land/water - nearest gazetteer location,SE1 7TP,SE1,E09000022,LAMBETH,E05000427,PRINCE'S,530200,178112,530250,178150,London,Lambeth,NULL,,NULL,,1,2
